rsi_threshold,limit_offset_atr,tp_percent,return_dd_ratio,total_return_pct,max_drawdown_pct,trades,win_rate_pct,profitable_months
70,0.8,8,29.70,843.6,-28.41,78,46.2,7
70,0.8,9,27.90,789.4,-28.93,78,42.3,6
70,0.8,10,24.88,873.0,-35.10,76,40.8,6
70,0.6,9,24.68,689.8,-27.97,85,41.2,6
70,0.6,8,21.90,620.4,-28.33,85,43.5,7
72,0.8,8,21.84,721.5,-33.03,74,43.2,6
72,0.6,9,20.67,587.1,-28.41,81,42.0,6
68,0.8,9,20.56,612.1,-29.77,87,41.4,6
70,0.4,10,20.32,535.2,-26.33,97,38.2,6
72,0.8,9,19.97,659.7,-33.03,72,40.3,5
72,0.8,7,19.46,641.1,-32.97,73,42.5,6
72,0.6,8,19.24,543.4,-28.29,82,41.5,6
70,0.6,7,19.12,520.3,-27.20,86,44.2,7
68,0.8,8,18.93,564.1,-29.80,89,40.5,6
70,0.4,9,18.78,487.2,-25.96,99,37.4,6
74,0.8,8,18.55,612.1,-32.96,69,40.6,6
70,0.6,10,18.25,581.5,-31.87,81,39.5,6
72,0.6,10,17.84,507.2,-28.42,80,39.4,5
68,0.8,10,17.73,529.2,-29.86,87,38.1,6
70,0.4,8,17.64,449.5,-25.47,101,36.6,6
