edge_type,condition,avg_return,volatility,sample_size,significance,win_rate
Day of Week,Monday,0.0017462956206594875,0.15963923907198713,5760,Low,
Day of Week,Tuesday,-0.0010564482613310254,0.10748834986182462,5760,Low,
Day of Week,Wednesday,-0.001154938472436302,0.09872815702866686,5760,Low,
Day of Week,Thursday,-0.0018492019425120755,0.09797632230084687,5760,Low,
Day of Week,Friday,-0.001284427739367258,0.14049280412425472,6246,Low,
Day of Week,Saturday,-0.0003654850550914001,0.09439126343335771,7200,Low,
Day of Week,Sunday,-0.00023221138676574266,0.09044286904769634,6716,Low,
Hour of Day,00:00,-0.0026741065931371517,0.11967640496712459,1800,Low,
Hour of Day,01:00,0.0023379711364702902,0.10038780235443708,1800,Low,
Hour of Day,02:00,0.0031480144967942487,0.10596994173027603,1800,Low,
Hour of Day,03:00,-0.003189053906550448,0.09982759630517737,1800,Low,
Hour of Day,04:00,0.0015639172324904331,0.12102250780301775,1800,Low,
Hour of Day,05:00,-0.0023135159397911853,0.0935268352938456,1800,Low,
Hour of Day,06:00,-0.0002588229018618259,0.09094549631546647,1800,Low,
Hour of Day,07:00,-0.001785624848485636,0.16611869333013712,1800,Low,
Hour of Day,08:00,-0.0016298827365417987,0.09418048941415029,1800,Low,
Hour of Day,09:00,-0.0020359146275160693,0.10108639389938591,1800,Low,
Hour of Day,10:00,-0.0008705284602778699,0.08184003826527853,1800,Low,
Hour of Day,11:00,-0.0020752901128441603,0.08866403594032761,1800,Low,
Hour of Day,12:00,0.0005091487305708352,0.11809074920533867,1800,Low,
Hour of Day,13:00,-0.000718575061686143,0.11245975910450222,1800,Low,
Hour of Day,14:00,0.0010116385345023081,0.15239060723576636,1800,Low,
Hour of Day,15:00,0.0011754625414418306,0.15050056124847938,1802,Low,
Hour of Day,16:00,-0.001827831771823174,0.1393321138350847,1800,Low,
Hour of Day,17:00,-0.001155287816468387,0.1260883055834192,1800,Low,
Hour of Day,18:00,-0.0009224422948102704,0.1271190570432191,1800,Low,
Hour of Day,19:00,0.0031394439569640354,0.11190186589584486,1800,Low,
Hour of Day,20:00,-0.001943583011330451,0.1087394296841312,1800,Low,
Hour of Day,21:00,-0.0005948426977774923,0.09501454955971617,1800,Low,
Hour of Day,22:00,0.0003822604881505576,0.09988572564585609,1800,Low,
Hour of Day,23:00,-0.0034649091452148653,0.09661396246747135,1800,Low,
RSI Extreme,RSI < 30,0.014437438929485291,,5209,Medium,55.03935496256479
RSI Extreme,RSI > 70,-0.02136449059407509,,4318,Medium,52.83893395133256
