total_return,num_trades,win_rate,profit_factor,max_drawdown,avg_win,avg_loss,sharpe,token,data_file,price_change
128.93104334771778,124,50.0,1.4916943521594688,19.26000553191571,4.490000000000003,-3.010000000000001,2.1974110018635815,PENGU,pengu_15m_3months.csv,-60.36067159538452
94.23634322856269,144,47.22222222222222,1.3346738940374197,32.405270797967646,4.4900000000000055,-3.0100000000000025,1.7039649409902322,FARTCOIN,fartcoin_15m_3months.csv,-58.05526590198124
58.06758003270489,102,47.05882352941176,1.3259505352528609,23.61554308489303,4.490000000000003,-3.010000000000002,1.4013069560896303,MELANIA,melania_15m_3months.csv,-37.04008221993833
32.60011102902472,98,44.89795918367347,1.215454657315123,19.260005531915713,4.4900000000000055,-3.010000000000002,0.9482977017995519,CRV,crv_15m_3months.csv,-48.76306389734093
28.14021605993997,65,46.15384615384615,1.2785951589938298,14.828269868194733,4.490000000000003,-3.0100000000000025,0.9736634578233523,XLM,xlm_15m_3months.csv,-28.994413407821227
15.362495329968361,66,43.93939393939394,1.1691658435844476,18.80092600332494,4.490000000000003,-3.010000000000004,0.6230053008171144,PI,pi_15m_3months.csv,-32.4378543392935
11.664373762358181,89,42.69662921348314,1.1114585369031338,23.321314559204417,4.4900000000000055,-3.0100000000000025,0.48888516963904083,UNI,uni_15m_3months.csv,-36.02271509696775
9.139239012884225,80,42.5,1.1025566950743901,21.99076643709843,4.490000000000004,-3.0100000000000016,0.42820693847020047,DOGE,doge_15m_3months.csv,-30.941181949424855
6.691906685570648,32,43.75,1.160206718346253,15.634779780298736,4.490000000000003,-3.0100000000000025,0.41241379196441663,BTC,btc_15m_3months.csv,-15.088907952084602
5.0841196832930535,13,46.15384615384615,1.2785951589938327,5.929398999999988,4.490000000000009,-3.0100000000000002,0.43543553578010663,TURBO,turbo_15m_3months.csv,10.650128314798977
4.089054959374039,6,50.0,1.4916943521594654,5.929398999999999,4.4899999999999975,-3.0100000000000047,0.4833659759092113,AIXBT,aixbt_15m_3months.csv,-10.197645079899075
1.5103014620305055,58,41.37931034482759,1.052960719171389,22.588285952225682,4.490000000000003,-3.010000000000003,0.19266682497675233,ETH,eth_15m_3months.csv,-28.705801547478842
-99.99999999999999,6359,33.33857524768045,0.7460231249299514,99.99999999999997,4.489999999999996,-3.010000000000006,-11.493640202862155,TRUMP,trump_15m_3months.csv,-1.2874837027379358
