strategy,total_trades,win_rate,total_pnl,avg_win,avg_loss,max_dd,rr_ratio,avg_duration_mins
BB_MeanRev_ATR_1.5x3.0,902,48.33702882483371,10.994346588502202,0.4665941996196142,-0.412962927994956,14.941618826057013,0.7358203094653253,13.644124168514413
BB_Limit_ATR_2.5x5.0,572,41.25874125874126,12.41317425006754,0.9189713318275834,-0.6085239882775064,22.5446776627184,0.5506033147058436,42.83216783216783
BB_Limit_ATR_3.0x6.0,460,39.130434782608695,10.995199560989601,1.1780582408198974,-0.7180545849521138,26.266981583437243,0.4185939494442205,61.7
BB_Limit_ATR_2.0x4.0,756,42.06349206349206,7.114614401044625,0.6928129873705327,-0.4867577981342118,22.76899223504132,0.3124694464999326,23.244708994708994
BB_MeanRev_US_ATR_2x4,251,40.63745019920319,1.3558233984817178,0.8374408453624598,-0.5641821666341557,19.57003555455852,0.06928057921519212,21.92430278884462
BB_MeanRev_ATR_3.0x6.0,460,39.130434782608695,-2.8048004390103793,1.1480582408198972,-0.7480545849521137,32.74698158343721,-0.0856506555226755,61.7
BB_MeanRev_ATR_2.5x5.0,572,41.25874125874126,-4.746825749932448,0.8889713318275835,-0.6385239882775063,30.304344048179694,-0.15663845890825603,42.83216783216783
BB_MeanRev_Asian_ATR_2x4,250,42.8,-4.388350656335265,0.6262293967908437,-0.49926500778290583,14.798832699962714,-0.29653356756619875,24.424
RSI_OS25_ATR_2x4,531,42.749529190207156,-12.64448949921933,0.5808153349245544,-0.4752946398917537,28.075624432413708,-0.4503725119153926,17.21280602636535
BB_MeanRev_ATR_2.0x4.0,756,42.06349206349206,-15.565385598955361,0.6628129873705328,-0.5167577981342119,33.077737073797806,-0.4705698447335844,23.244708994708994
RSI_OS30_ATR_2x4,870,41.724137931034484,-24.31890113831574,0.6016009348906101,-0.4786983047408424,47.30797393642941,-0.5140550126072725,18.632183908045977
RSI_OS20_ATR_2x4,306,40.52287581699346,-10.865775175032873,0.5647110559803472,-0.4444502533878897,17.37573948811956,-0.6253417405608669,13.84967320261438
BB_MeanRev_Euro_ATR_2x4,194,43.81443298969072,-9.25243219150355,0.5326604992886407,-0.5002621525783303,12.762685117398902,-0.7249596857083034,27.608247422680414
VolSurge_3.0x_ATR_2x4,701,24.393723252496432,-127.0462508241331,0.7371299152023808,-0.4775386157051702,135.91754506230134,-0.9347303231963037,20.82025677603424
VolSurge_2.0x_ATR_2x4,1020,24.41176470588235,-189.7162175473111,0.7762935952331738,-0.4967747376917915,199.7802715202451,-0.9496243853492103,21.80686274509804
VolSurge_5.0x_ATR_2x4,306,25.816993464052292,-53.63503509694455,0.6725229252533118,-0.47032751626412406,56.39986765413646,-0.9509780311161931,19.101307189542485
EMA9_20_US_ATR_2x4,281,28.11387900355872,-35.63123522872847,0.8630686334619228,-0.5139289963971304,37.42585279152276,-0.9520487195631576,21.558718861209965
EMA9_20_ATR_3.0x6.0,460,26.08695652173913,-91.54287274740344,1.2143022799962278,-0.6978210186675021,95.61226519866557,-0.9574385938581557,60.57608695652174
EMA9_20_ATR_2.5x5.0,648,25.617283950617285,-121.95464396154495,0.9459736691847096,-0.5788096951166113,126.23215637841311,-0.966113924220345,35.449074074074076
EMA9_20_Asian_ATR_2x4,338,23.964497041420117,-68.52937368529469,0.6186102917627134,-0.4616218183582664,69.50163980985522,-0.9860108894233217,18.071005917159763
EMA9_20_ATR_2.0x4.0,921,22.90988056460369,-182.153842617771,0.7262320792726681,-0.47237860752718863,184.6432297499142,-0.9865178531835969,18.67643865363735
EMA9_20_Euro_ATR_2x4,275,16.363636363636363,-76.40014261201519,0.6423826470658989,-0.45785809447817666,75.98467197908852,-1.0054678216290913,16.596363636363638
