config,return,max_dd,return_dd,trades,win_rate,tp_rate,sl_rate
Fresh Crosses Only,39.11816480761887,-7.313871068567956,5.3484897998452325,64,31.25,17.1875,65.625
Best Hours Only,53.461696318136184,-17.201190979025895,3.108022949301835,69,27.536231884057973,20.28985507246377,71.01449275362319
Strong Body Filter,25.72683820639193,-10.162018895881584,2.5316660468736565,22,22.727272727272727,18.181818181818183,72.72727272727273
Avoid Momentum Chasers,38.15352395537722,-16.56826365698481,2.302807629409769,111,28.82882882882883,14.414414414414415,69.36936936936937
Triple Anti-Chase,14.932007730071199,-8.614484551097867,1.733360555875418,61,26.229508196721312,13.114754098360656,72.1311475409836
Avoid High ATR,39.7257945073664,-25.253610995805193,1.573073827499962,154,22.727272727272727,14.285714285714285,75.32467532467533
Calm Entry + Strong Body,6.541400064136191,-10.323639671145036,0.6336331247999338,17,11.76470588235294,11.76470588235294,82.35294117647058
Best Hour + Low Consec,6.405770944475353,-15.508860270806942,0.4130394389156524,39,23.076923076923077,12.82051282051282,76.92307692307693
Low Consecutive + Strong Body,-15.617318694250779,-17.673702227195232,-0.8836472683250137,27,18.51851851851852,3.7037037037037033,77.77777777777779
Mega Winner Profile,-6.533467638686796,-6.86425360002889,-0.9518103524991118,9,11.11111111111111,0.0,77.77777777777779
